ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	494.0	3.0	33
part1_UG_gain_f_red_1	25	01-07-2020	0	2.0	0	1644.0	3.0	34
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	347.0	3.0	35
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	419.0	3.0	36
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	582.0	2.0	37
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	1345.0	3.0	38
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	331.0	3.0	39
part1_UG_gain_f_red_1	25	01-07-2020	1	2.0	1	889.0	2.0	40
part1_UG_gain_f_red_1	26	01-07-2020	0	4.0	0	8947.0	3.0	1
part1_UG_gain_f_red_1	26	01-07-2020	0	3.0	0	4705.0	2.0	2
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	1093.0	4.0	3
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	2179.0	1.0	4
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	3963.0	2.0	5
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	1386.0	3.0	6
part1_UG_gain_f_red_1	26	01-07-2020	0	3.0	0	3072.0	3.0	7
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	1079.0	2.0	8
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	3102.0	2.0	9
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	1118.0	4.0	10
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	2111.0	2.0	11
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	1632.0	4.0	12
part1_UG_gain_f_red_1	26	01-07-2020	1	3.0	1	1885.0	2.0	13
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	1278.0	2.0	14
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	1074.0	4.0	15
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	1047.0	4.0	16
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	686.0	2.0	17
part1_UG_gain_f_red_1	26	01-07-2020	1	2.0	1	981.0	1.0	18
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	1680.0	2.0	19
part1_UG_gain_f_red_1	26	01-07-2020	1	3.0	1	1839.0	4.0	20
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	1504.0	3.0	21
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	2480.0	4.0	22
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	943.0	5.0	23
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	2403.0	5.0	24
part1_UG_gain_f_red_1	26	01-07-2020	1	3.0	1	3407.0	2.0	25
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	4502.0	4.0	26
